time,node,timestamp,result,channel,duration
611262,11,99.0,coll,1,2700
611262,12,81.0,coll,1,2700
611262,14,63.0,coll,1,2700
611280,7,135.0,coll,1,2700
611280,9,288.0,coll,1,2700
611298,5,126.0,coll,1,2700
611298,11,117.0,coll,1,2700
611325,14,99.0,succ,1,2700
614043,8,531.0,coll,1,2700
614043,13,99.0,coll,1,2700
614043,14,18.0,coll,1,2700
614061,7,189.0,succ,1,2700
616770,12,153.0,succ,1,2700
619479,9,360.0,succ,1,2700
622188,10,585.0,succ,1,2700
624897,6,126.0,succ,1,2700
627615,14,81.0,succ,1,2700
630324,6,27.0,succ,1,2700
633033,8,612.0,succ,1,2700
635742,5,252.0,coll,1,2700
635742,11,243.0,coll,1,2700
635760,7,90.0,succ,1,2700
638478,12,99.0,succ,1,2700
641187,6,54.0,coll,1,2700
641187,13,225.0,coll,1,2700
641214,7,45.0,coll,1,2700
641214,9,117.0,coll,1,2700
641232,5,315.0,succ,1,2700
643941,5,9.0,succ,1,2700
646650,10,135.0,coll,1,2700
646650,14,108.0,coll,1,2700
646668,7,81.0,succ,1,2700
649386,11,351.0,succ,1,2700
652095,10,171.0,succ,1,2700
654804,8,135.0,coll,1,2700
654804,10,9.0,coll,1,2700
654822,9,198.0,succ,1,2700
657531,7,54.0,succ,1,2700
660240,6,171.0,coll,1,2700
660240,12,126.0,coll,1,2700
660258,12,135.0,succ,1,2700
662967,13,360.0,succ,1,2700
665676,7,36.0,coll,1,2700
665676,9,45.0,coll,1,2700
665694,6,207.0,coll,1,2700
665694,10,72.0,coll,1,2700
665694,14,216.0,coll,1,2700
665712,5,126.0,succ,1,2700
668421,5,9.0,succ,1,2700
671130,5,9.0,coll,1,2700
671130,7,72.0,coll,1,2700
671148,7,81.0,coll,1,2700
671148,11,117.0,coll,1,2700
671148,12,63.0,coll,1,2700
671175,6,261.0,succ,1,2700
673884,8,261.0,coll,1,2700
673884,10,135.0,coll,1,2700
673893,8,261.0,succ,1,2700
676602,13,90.0,succ,1,2700
679320,13,18.0,succ,1,2700
682029,12,126.0,succ,1,2700
684738,5,90.0,coll,1,2700
684738,9,162.0,coll,1,2700
684756,6,63.0,coll,1,2700
684756,14,333.0,coll,1,2700
684783,6,81.0,coll,1,2700
684783,8,72.0,coll,1,2700
684783,11,216.0,coll,1,2700
684801,7,189.0,succ,1,2700
687510,10,225.0,succ,1,2700
690210,10,0.0,succ,1,2700
692928,5,153.0,succ,1,2700
695637,5,9.0,coll,1,2700
695637,13,90.0,coll,1,2700
695664,12,99.0,coll,1,2700
